2018-10-25 15:53:39.876 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {user=root, password=root}
2018-10-25 15:53:39.877 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
2018-10-25 15:53:39.882 [main] INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-10-25 15:53:40.023 [main] WARN  org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : null
2018-10-25 15:53:40.039 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2018-10-25 15:53:40.058 [main] INFO  org.hibernate.engine.jdbc.env.internal.LobCreatorBuilderImpl - HHH000422: Disabling contextual LOB creation as connection was null
2018-10-25 15:53:40.070 [main] WARN  org.hibernate.engine.jdbc.spi.SqlExceptionHelper - SQL Error: 0, SQLState: 08001
2018-10-25 15:53:40.070 [main] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper - Public Key Retrieval is not allowed
2018-10-25 15:54:09.897 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.6.Final}
2018-10-25 15:54:09.900 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2018-10-25 15:54:10.325 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2018-10-25 15:54:11.541 [main] WARN  org.hibernate.orm.connections.pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-10-25 15:54:11.546 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/zy_rims?useSSL=false&serverTimezone=UTC]
2018-10-25 15:54:11.547 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {user=root, password=root}
2018-10-25 15:54:11.547 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
2018-10-25 15:54:11.550 [main] INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-10-25 15:54:11.695 [main] WARN  org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : null
2018-10-25 15:54:11.709 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2018-10-25 15:54:11.728 [main] INFO  org.hibernate.engine.jdbc.env.internal.LobCreatorBuilderImpl - HHH000422: Disabling contextual LOB creation as connection was null
2018-10-25 15:54:11.738 [main] WARN  org.hibernate.engine.jdbc.spi.SqlExceptionHelper - SQL Error: 0, SQLState: 08001
2018-10-25 15:54:11.738 [main] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper - Public Key Retrieval is not allowed
2018-10-25 15:55:45.699 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.6.Final}
2018-10-25 15:55:45.701 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2018-10-25 15:55:46.052 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2018-10-25 15:55:47.201 [main] WARN  org.hibernate.orm.connections.pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2018-10-25 15:55:47.209 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/zy_rims?useSSL=false]
2018-10-25 15:55:47.209 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {user=root, password=root}
2018-10-25 15:55:47.209 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
2018-10-25 15:55:47.213 [main] INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 20 (min=1)
2018-10-25 15:55:47.361 [main] WARN  org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator - HHH000342: Could not obtain connection to query metadata : null
2018-10-25 15:55:47.376 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2018-10-25 15:55:47.395 [main] INFO  org.hibernate.engine.jdbc.env.internal.LobCreatorBuilderImpl - HHH000422: Disabling contextual LOB creation as connection was null
2018-10-25 15:55:47.403 [main] WARN  org.hibernate.engine.jdbc.spi.SqlExceptionHelper - SQL Error: 0, SQLState: 08001
2018-10-25 15:55:47.403 [main] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper - Public Key Retrieval is not allowed
